Market,Industry,Process_Name,Input_Source,Current_State_Mapping,Future_State_Mapping,Identified_Risk,Mitigating_Control,Control_Type,Local_Variation,Inefficiency_Found,Predictive_Risk_Score
USA,Banking,Trading Floor Surveillance,"Our Trading Floor Surveillance relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,AI-driven credit scoring model,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.19
USA,Manufacturing,Inventory Valuation,"Our Inventory Valuation relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,3-way match automation,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.3
USA,Manufacturing,Quality Assurance Inspection,"Internal audit extract: 'The Quality Assurance Inspection workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Inaccurate inventory counts leading to production delays,Computer Vision QA scanning,Automated,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.6
USA,Banking,High-Value Transfer Approval,The current SOP for High-Value Transfer Approval is outdated and doesn't account for cloud-based tools used in USA.,Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,AI-driven credit scoring model,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.91
Japan,Banking,AML/KYC Onboarding,The current SOP for AML/KYC Onboarding is outdated and doesn't account for cloud-based tools used in Japan.,Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,Bio-metric access for traders,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.72
USA,Healthcare,Patient Record Access,"Internal audit extract: 'The Patient Record Access workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Incomplete consent forms in trials,Digitized e-signature workflow,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.26
USA,Banking,Loan Underwriting,The current SOP for Loan Underwriting is outdated and doesn't account for cloud-based tools used in USA.,Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Money laundering through shell companies,AI-driven credit scoring model,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.42
Brazil,Manufacturing,Factory Safety Monitoring,"Our Factory Safety Monitoring relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,OSHA/Regulatory safety violations,Real-time wearable safety monitors,Manual,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.67
USA,Manufacturing,Quality Assurance Inspection,"Internal audit extract: 'The Quality Assurance Inspection workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,Computer Vision QA scanning,Automated,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.42
Germany,Manufacturing,Factory Safety Monitoring,"Our Factory Safety Monitoring relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,3-way match automation,Automated,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
USA,Banking,Trading Floor Surveillance,"Our Trading Floor Surveillance relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Unauthorized wire transfers,Dual-authorization for transfers > $100k,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.49
Japan,Banking,Loan Underwriting,"Internal audit extract: 'The Loan Underwriting workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,Dual-authorization for transfers > $100k,ITGC,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
Germany,Banking,High-Value Transfer Approval,"Der Prozess für High-Value Transfer Approval ist derzeit sehr umständlich. Wir müssen jedes Formular manuell unterschreiben und in den Aktenordner ablegen.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Money laundering through shell companies,Automated sanction screening,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.63
Brazil,Manufacturing,Raw Material Procurement,The current SOP for Raw Material Procurement is outdated and doesn't account for cloud-based tools used in Brazil.,Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,Inaccurate inventory counts leading to production delays,RFID real-time inventory tracking,ITGC,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.31
USA,Manufacturing,Raw Material Procurement,"Internal audit extract: 'The Raw Material Procurement workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,OSHA/Regulatory safety violations,Real-time wearable safety monitors,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.35
Germany,Healthcare,Patient Record Access,"Internal audit extract: 'The Patient Record Access workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Incomplete consent forms in trials,RFID-based expiration tracking,ITGC,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.88
Japan,Manufacturing,Quality Assurance Inspection,"Quality Assurance Inspectionの現在の手順は、紙の承認印（ハンコ）に依存しています。各ステップで物理的な署名が必要です。",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,3-way match automation,ITGC,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.38
USA,Banking,Trading Floor Surveillance,The current SOP for Trading Floor Surveillance is outdated and doesn't account for cloud-based tools used in USA.,Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,Automated sanction screening,Manual,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.85
USA,Banking,High-Value Transfer Approval,"Our High-Value Transfer Approval relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in USA.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,AI-driven credit scoring model,ITGC,SOX Section 404 compliance,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.5
Germany,Healthcare,Medical Device Maintenance,"Internal audit extract: 'The Medical Device Maintenance workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Expired medication dispensed to patients,Digitized e-signature workflow,Automated,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.95
Japan,Healthcare,Medical Device Maintenance,"Medical Device Maintenanceの現在の手順は、紙の承認印（ハンコ）に依存しています。各ステップで物理的な署名が必要です。",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Expired medication dispensed to patients,Zero-trust encryption for EHR,Automated,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.12
Germany,Manufacturing,Quality Assurance Inspection,"Der Prozess für Quality Assurance Inspection ist derzeit sehr umständlich. Wir müssen jedes Formular manuell unterschreiben und in den Aktenordner ablegen.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,Computer Vision QA scanning,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.87
Japan,Banking,Loan Underwriting,The current SOP for Loan Underwriting is outdated and doesn't account for cloud-based tools used in Japan.,Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,AI-driven credit scoring model,ITGC,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.9
Brazil,Banking,High-Value Transfer Approval,The current SOP for High-Value Transfer Approval is outdated and doesn't account for cloud-based tools used in Brazil.,Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,Credit default due to outdated scoring,Automated sanction screening,Manual,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.66
Japan,Healthcare,Medical Device Maintenance,"Internal audit extract: 'The Medical Device Maintenance workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,HIPAA/GDPR data breach,Zero-trust encryption for EHR,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
Japan,Banking,Loan Underwriting,"Loan Underwritingの現在の手順は、紙の承認印（ハンコ）に依存しています。各ステップで物理的な署名が必要です。",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Insider trading during blackout periods,AI-driven credit scoring model,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.76
Germany,Manufacturing,Inventory Valuation,"Our Inventory Valuation relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,Real-time wearable safety monitors,Automated,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.68
Germany,Manufacturing,Inventory Valuation,The current SOP for Inventory Valuation is outdated and doesn't account for cloud-based tools used in Germany.,Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,RFID real-time inventory tracking,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.63
Japan,Banking,Trading Floor Surveillance,The current SOP for Trading Floor Surveillance is outdated and doesn't account for cloud-based tools used in Japan.,Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Unauthorized wire transfers,Bio-metric access for traders,Automated,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
Germany,Manufacturing,Inventory Valuation,The current SOP for Inventory Valuation is outdated and doesn't account for cloud-based tools used in Germany.,Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Faulty components entering the assembly line,RFID real-time inventory tracking,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.56
Brazil,Banking,High-Value Transfer Approval,"Our High-Value Transfer Approval relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,Money laundering through shell companies,Automated sanction screening,ITGC,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.24
Brazil,Healthcare,Patient Record Access,The current SOP for Patient Record Access is outdated and doesn't account for cloud-based tools used in Brazil.,Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,Incomplete consent forms in trials,Digitized e-signature workflow,Automated,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.39
Germany,Healthcare,Patient Record Access,"Our Patient Record Access relies on the manager checking spreadsheets every Friday. If they are out, the validation is skipped.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Expired medication dispensed to patients,RFID-based expiration tracking,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.53
Japan,Healthcare,Pharmacy Inventory Management,The current SOP for Pharmacy Inventory Management is outdated and doesn't account for cloud-based tools used in Japan.,Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Expired medication dispensed to patients,RFID-based expiration tracking,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.4
Japan,Manufacturing,Factory Safety Monitoring,"Internal audit extract: 'The Factory Safety Monitoring workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,Computer Vision QA scanning,ITGC,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.44
Brazil,Manufacturing,Quality Assurance Inspection,The current SOP for Quality Assurance Inspection is outdated and doesn't account for cloud-based tools used in Brazil.,Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,OSHA/Regulatory safety violations,Real-time wearable safety monitors,Manual,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.36
Germany,Banking,High-Value Transfer Approval,"Internal audit extract: 'The High-Value Transfer Approval workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Money laundering through shell companies,Automated sanction screening,Manual,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.24
Japan,Healthcare,Pharmacy Inventory Management,"Pharmacy Inventory Managementの現在の手順は、紙の承認印（ハンコ）に依存しています。各ステップで物理的な署名が必要です。",Manual data entry into Legacy System followed by email review in Japan.,AI-driven automated ingestion with immutable blockchain audit logs.,Expired medication dispensed to patients,RFID-based expiration tracking,Manual,APPI standards,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.61
Germany,Manufacturing,Quality Assurance Inspection,"Der Prozess für Quality Assurance Inspection ist derzeit sehr umständlich. Wir müssen jedes Formular manuell unterschreiben und in den Aktenordner ablegen.",Manual data entry into Legacy System followed by email review in Germany.,AI-driven automated ingestion with immutable blockchain audit logs.,Duplicate payments to vendors,Real-time wearable safety monitors,Automated,GDPR and BDSG requirements,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.62
Brazil,Healthcare,Patient Record Access,"Internal audit extract: 'The Patient Record Access workflow lacks a clear audit trail as approvals are buried in email strings.'",Manual data entry into Legacy System followed by email review in Brazil.,AI-driven automated ingestion with immutable blockchain audit logs.,HIPAA/GDPR data breach,Zero-trust encryption for EHR,Manual,LGPD alignment,Redundant manual data entry and multi-layered approvals causing a 4-day lag.,0.67